instance,set,original,md5,bytes
ship-1.bch,easy,ship-1.bch,e2cf47b42ab6765c53406a7a8e5cab46,998
test_infinity2.bch,easy,test_infinity2.bch,e3145ab4229b51a64c59190393faab61,123
wall.bch,easy,wall.bch,7162989537dfe3c57b8f6681795d9c2b,348
ex2_1_7.bch,blowup,ex2_1_7.bch,f134fc74fb218d47cf25e261c05dac6f,1911
ex2_1_9bis.bch,blowup,ex2_1_9bis.bch,e708d8ff92203c6681cfc93671c9d997,582
ex6_1_1.bch,blowup,ex6_1_1.bch,4e008d386436cc4428b33902ae0b035e,623
ex6_2_13.bch,blowup,ex6_2_13.bch,62c4636d29a1a948908a36878967f9a2,1285
ex7_3_5.bch,blowup,ex7_3_5.bch,f6a00ce5b067372edf99ee7abcdd0da5,970
ex8_4_4-1.bch,blowup,ex8_4_4-1.bch,e284bd01da149637d74d2c860aa579ba,1218
ex8_4_4-2.bch,blowup,ex8_4_4-2.bch,710e30257741ae6f3de6094fcf803328,1082
ex8_4_4.bch,blowup,ex8_4_4.bch,e56ae0ab0d81991728b79da9a9f29ec7,1218
ex8_4_5.bch,blowup,ex8_4_5.bch,fbb5306dc73e5784cf2de1c7cbb4a2fc,1416
ex8_4_6.bch,blowup,ex8_4_6.bch,63e42e09609016a6975b0e2149b238f1,963
ex8_4_6bis.bch,blowup,ex8_4_6bis.bch,1c1ea6b76e48e984abd8f5241de15910,2093
ex8_4_6ter.bch,blowup,ex8_4_6ter.bch,c7b4133ee2fe61840cebe74964a8f8fb,936
ex8_5_1-1.bch,blowup,ex8_5_1-1.bch,be15df93fbee271241977075911bbe3f,615
harker.bch,blowup,harker.bch,909831bdd2f2ed3bed0e2d004acdb638,1165
hhfair.bch,blowup,hhfair.bch,95fe836f48c4716635585cd7085b1cf6,1399
hhfair1.bch,blowup,hhfair1.bch,3e88a265df84527d8e550aae44f4c233,1450
minlphi.bch,blowup,minlphi.bch,6dff07a4863c0f4caf02c2161a0570b9,4457
minlphi1.bch,blowup,minlphi1.bch,0b7e060bbeecfea381b6b231d76d621c,3794
ramsey.bch,blowup,ramsey.bch,5a73489799eb344ded687a4bc66c1338,1779
ramseybis.bch,blowup,ramseybis.bch,8c6b04ae7508f8ddb5e6df55aad8b7cc,1856
alkyl.bch,medium,alkyl.bch,c91a70a1203190ca40fb81fae35d2ff9,709
alkylbis.bch,medium,alkylbis.bch,7b982619e11b0f447ac44b06f316df7f,707
bearing.bch,medium,bearing.bch,cc69182a78aec9b1100cc0ee9749d5b4,787
ex14_1_7.bch,medium,ex14_1_7.bch,c5ebeaa5bf888cb2eeba107d1911a8f3,1857
ex14_2_3.bch,medium,ex14_2_3.bch,f4da0cb3dbb9210f56b07105aa6c39cb,4247
ex14_2_7.bch,medium,ex14_2_7.bch,0f558af874e34242770606762e168070,6414
ex2_1_8.bch,medium,ex2_1_8.bch,72e5269fea98b0c25f01745f3a78c98c,1310
ex2_1_9.bch,medium,ex2_1_9.bch,cf8a6eccff23bc729dd6387208aaabd1,460
ex2_1_9fact.bch,medium,ex2_1_9fact.bch,25ea48e4ad7258d1e9865664b9fed77c,418
ex5_2_2_case3.bch,medium,ex5_2_2_case3.bch,e98df46ebfd7ef1f7233a29344bff085,398
ex5_3_2.bch,medium,ex5_3_2.bch,03a70ae535ebeea86db3765d61b28351,910
ex6_1_3bis.bch,medium,ex6_1_3bis.bch,e8294c0a06fea9c094730cc68d7b1863,1382
ex6_1_4.bch,medium,ex6_1_4.bch,c491ad9d4ce9c1e710719f9e56940a23,602
ex6_2_11.bch,medium,ex6_2_11.bch,26855b8d3aad26256324093152d3fca6,993
ex6_2_12.bch,medium,ex6_2_12.bch,cc6553473a1158d49c9d848f25940a93,813
ex6_2_14.bch,medium,ex6_2_14.bch,e0edfba19032152e9e9f5c0a1fed5f2a,744
ex6_2_6.bch,medium,ex6_2_6.bch,37bef244a38e3e6c1cb72b950ced94cd,1175
ex6_2_8.bch,medium,ex6_2_8.bch,a8fc00f3c2be8802686df84e83f69d98,1185
ex6_2_9.bch,medium,ex6_2_9.bch,432b917e42e64a1bb2892c1eb8244ead,1271
ex7_2_4.bch,medium,ex7_2_4.bch,1e29c3578fb7e9efee8baca20bbf5fb0,467
ex7_2_8.bch,medium,ex7_2_8.bch,bf95208a4e81cc6bbee680be30905a1f,404
ex7_2_9.bch,medium,ex7_2_9.bch,8fbf52697b0f4cd17747086eb5c03471,468
ex7_3_4.bch,medium,ex7_3_4.bch,f9b6066a117a28434a3b4c400a944c3d,881
ex7_3_4bis.bch,medium,ex7_3_4bis.bch,795c7ec7579393b87e03867e32a60d16,698
ex7_3_5bis.bch,medium,ex7_3_5bis.bch,aac52395b186ffd8a07bf0544ee52959,627
ex8_4_4bis.bch,medium,ex8_4_4bis.bch,5188974b07df5d6e759ebb88aaccc924,835
ex8_5_1.bch,medium,ex8_5_1.bch,edd01419dcadf8946e12a0df4c031d81,609
ex8_5_2.bch,medium,ex8_5_2.bch,b2a931e6234d0abbe2b4b6bcc893df35,605
ex8_5_2_1.bch,medium,ex8_5_2_1.bch,3d0cb3596e12a32cd7671fa9c1f6e6ab,604
ex8_5_6.bch,medium,ex8_5_6.bch,60ce376fb7e2d2cc3f8a31552ca94574,791
haverly.bch,medium,haverly.bch,a3d9129e42d1ced5e1ada0e7adeea729,523
himmel16.bch,medium,himmel16.bch,72426af37cbb7a57b69961668d2c0a59,1136
hydro.bch,medium,hydro.bch,1096648f248c1f070c6f94158d124c00,1452
immun.bch,medium,immun.bch,4a72f65454949927d2b70440fdad64bf,1578
launch.bch,medium,launch.bch,ff40ad73b41219402920199b8d56e7cb,2835
like-1.bch,medium,like-1.bch,f1e6d5cbe89e8a9564f3b1317bb2527a,4341
like.bch,medium,like.bch,838d7d55e0e13d5f71511ce6f0e0a583,4340
linear.bch,medium,linear.bch,a8cad5c4213acf6bd713a04fbf2debcf,1717
meanvar.bch,medium,meanvar.bch,847a25073d5544c09828759b73b2270f,969
schwefel5-abs.bch,medium,schwefel5-abs.bch,7e8418a38a91aa2d31998a76a15df56d,345
schwefel5.bch,medium,schwefel5.bch,44cbadbe51c26d3dc8b2d79e9ab8a614,366
srcpm.bch,medium,srcpm.bch,f3733dff89dafbf7f8a4a06c0648bf08,2330
chem-1.bch,hard,chem-1.bch,3f88419709ec48358e2c050cf0e7e0a6,816
chem.bch,hard,chem.bch,91d363ba3bc14639ec44818a140f24bc,815
chembis.bch,hard,chembis.bch,1e50f24666b3a8da0fa0a4acd3a5b28d,801
ex5_4_4.bch,hard,ex5_4_4.bch,989e5965b68542ebf5a14e0a2b7dffb2,1374
ex6_1_3.bch,hard,ex6_1_3.bch,647bd8c3e1bd8a8089e33d9b7452d915,1273
ex6_2_10.bch,hard,ex6_2_10.bch,574bb1d1c80ba33a6d143d48973f0c0c,1963
ex8_5_1bis.bch,hard,ex8_5_1bis.bch,32c7fedef4c618fd95d873a5f46bf562,631
sambal.bch,hard,sambal.bch,81b3aff1298bb9e5e15fe12dfb343c4c,977
dualc1.bch,others,dualc1.bch,9d435f3dead715defbd766e8edadc1e6,25069
ex14_1_6.bch,others,ex14_1_6.bch,05fc41f1020226cf7f6462b57199f9b8,878
ex8_4_5-1.bch,others,ex8_4_5-1.bch,a88d48e3a1cea92a6eeac03be3576d21,1417
ex8_4_5bis.bch,others,ex8_4_5bis.bch,31f04507f7aad8a9ef3c61630a122b91,983
polygon25.bch,others,polygon25.bch,f57dcabfe3551f3f6a1ba58ca142ab38,16148
ship.bch,others,ship.bch,6168e83e999995d4cb97b2ecc207a002,1036
test_infinity3.bch,others,test_infinity3.bch,3c49e9d240c028ed43ebee875e3a69ad,149
test_infinity4.bch,others,test_infinity4.bch,39742f481c6ff6acd48ab7e5126d5a63,137
abel.bch,unsolved,abel.bch,cd412e4d0d2595a5d3cb911dacbee568,3072
abelbis-1.bch,unsolved,abelbis-1.bch,656143091824945f0a462d26b5cbc88b,2717
abelbis.bch,unsolved,abelbis.bch,17ee69c7dad88f6a2e62cb97af9a8ec7,2719
abelter-1.bch,unsolved,abelter-1.bch,0961d4506847adde5f83122407b5a7a0,2428
chakra-1.bch,unsolved,chakra-1.bch,226a2361d1aabba5c2837c12fc4b4e8d,3454
chakra.bch,unsolved,chakra.bch,7b6a6a229cfbab2a5b36f43e601088f6,3504
chenery-1.bch,unsolved,chenery-1.bch,2fba430c24d6b4f13932e5740b833db3,2459
chenery.bch,unsolved,chenery.bch,eaae2f0bc6e3b6082be57ee5618fccd5,2419
ex5_2_5.bch,unsolved,ex5_2_5.bch,2601d1fbf053932534433fb6dd76f738,2972
ex5_3_3.bch,unsolved,ex5_3_3.bch,cb781b381ae6093c021cc2ae25bfcc9d,3211
ex6_2_5.bch,unsolved,ex6_2_5.bch,1c490afea8aaf42721b2f1fc5444bca9,2707
ex6_2_7.bch,unsolved,ex6_2_7.bch,5142b805e8c0915ab7a8d71330284532,3515
ex8_2_4.bch,unsolved,ex8_2_4.bch,186952a3d364ccb871da70cc16035db3,8689
ex8_4_1.bch,unsolved,ex8_4_1.bch,8566ea2405f23c300104b46dee697472,1023
ex8_4_1bis.bch,unsolved,ex8_4_1bis.bch,fceff3dce049aa6552b1faaeaae7bd5a,1146
ex8_4_2.bch,unsolved,ex8_4_2.bch,299b9db40e9358e0f0c987035d40015c,1283
ex8_4_2bis.bch,unsolved,ex8_4_2bis.bch,6b82e7cb62b4e4c276428e1cb7079d5f,1834
ex8_4_3.bch,unsolved,ex8_4_3.bch,a03a934f272a50bda2ea2b57d6308ace,3233
ex8_4_8.bch,unsolved,ex8_4_8.bch,8f447015c6f4c52f8ef66fd70d1b8522,3171
least.bch,unsolved,least.bch,2e208d551e9d0f089386302c67de58ef,277
pollut.bch,unsolved,pollut.bch,d07e243c46ef3549c68c2fbaa0f35788,4068
prolog.bch,unsolved,prolog.bch,d022a318589a7511f276e4973ec7d8c8,1885
qp1-1.bch,unsolved,qp1-1.bch,827b9deb94e9f2d5e8e2358d556a2e3a,73118
qp1.bch,unsolved,qp1.bch,f6f2dbf96e33c540eda00e63aae849b3,73268
qp2.bch,unsolved,qp2.bch,055f141e02dd7b2c58cebc231d3fdaf6,38129
water-abs.bch,unsolved,water-abs.bch,18e680ae4551c4e8defa88052d536008,2421
water.bch,unsolved,water.bch,f28993d4ec8d83b806dda5f047f6d150,2701
water1-abs.bch,unsolved,water1-abs.bch,0233769adc9bd96e2a1ba1104ad9af1a,2659
water1.bch,unsolved,water1.bch,2ebcf65a30a9c3af49f99a44704b23c3,2665
3pk-borne.bch,coconutbenchmark-library2,3pk-borne.bch,ca108111083d92fa8b39eadb2af27fe9,9723
3pk.bch,coconutbenchmark-library2,3pk.bch,86fc232e1016b3b8accf122b49c4754e,9693
aircraftb.bch,coconutbenchmark-library2,aircraftb.bch,e888a0f65f93d1c8399ad232d0f93769,716
avgasa.bch,coconutbenchmark-library2,avgasa.bch,26b408825a4afce8ca790e3a41ad9271,642
avgasb.bch,coconutbenchmark-library2,avgasb.bch,42bd3ee5c09c0467d06e7be4a05a859d,618
avion2.bch,coconutbenchmark-library2,avion2.bch,df364469df678da1a8097baed1f64f9a,2130
batch.bch,coconutbenchmark-library2,batch.bch,a53b07a8cd9a983a61d7a9c68eb53d90,4360
brownal.bch,coconutbenchmark-library2,brownal.bch,e9bac66dc919b31e69ff9f94f6124745,843
catena.bch,coconutbenchmark-library2,catena.bch,91d9e2c7b69342c15453ecf561685e2d,1835
concon.bch,coconutbenchmark-library2,concon.bch,24fa2da8546d94b7d3ae2387f976ea55,1047
cresc4.bch,coconutbenchmark-library2,cresc4.bch,ab33a5afd50e0abde4f82c00e1425745,935
dipigri.bch,coconutbenchmark-library2,dipigri.bch,c31f3a1ddf0c5d7fc8d2da8a0948f548,592
disc2.bch,coconutbenchmark-library2,disc2.bch,6cab314f109c5d03726e5f417a1cf85d,1606
discs.bch,coconutbenchmark-library2,discs.bch,15aa7a2e7a52df3a954767c832ab23a5,4962
dixchlng.bch,coconutbenchmark-library2,dixchlng.bch,c29eafef6e750ddaf1cf2de4aebb772d,1702
dnieper.bch,coconutbenchmark-library2,dnieper.bch,58a8fc99f9a57463ae8a92262511de84,14627
dualc1__coconut.bch,coconutbenchmark-library2,dualc1.bch,bb5125f875fe6181d57259c2dea6baca,2450
dualc2.bch,coconutbenchmark-library2,dualc2.bch,1a13f3cd5745370fc1fa5e203d210ee5,1488
dualc5.bch,coconutbenchmark-library2,dualc5.bch,167a20bbff51c7e0230ece5b5b7f9983,1001
dualc8.bch,coconutbenchmark-library2,dualc8.bch,7dafc30986608e325f52294b79567fa3,2262
eigencco.bch,coconutbenchmark-library2,eigencco.bch,9df18faf9805963ba3306b1ab76f8571,3249
eigmaxc.bch,coconutbenchmark-library2,eigmaxc.bch,cd45be9da82d4035fff757c5b9f775ad,1318
eigminc.bch,coconutbenchmark-library2,eigminc.bch,e261f5dc2c0af720612f945f31ea7ba6,1313
ex2_1_7__coconut.bch,coconutbenchmark-library2,ex2_1_7.bch,7c747f7d068e09eb3c80e27eca39d208,2147
ex2_1_8__coconut.bch,coconutbenchmark-library2,ex2_1_8.bch,33573ac3d36f20fc8c79a775ef592218,1433
fccu.bch,coconutbenchmark-library2,fccu.bch,536d888b1803fdd30e6f9a75482f9509,956
genhs28.bch,coconutbenchmark-library2,genhs28.bch,774768f40268e981e82460ea43ff95d3,691
haifas.bch,coconutbenchmark-library2,haifas.bch,eb2bca7fef22d99cdaecb8a0c2c90a84,900
haldmads.bch,coconutbenchmark-library2,haldmads.bch,8890f47f1e9229d2ba93801780e9f3d7,5168
himmelbk.bch,coconutbenchmark-library2,himmelbk.bch,85a2855228018be78728a2e9f640108f,10678
hs056.bch,coconutbenchmark-library2,hs056.bch,57313f47bd27281446f762cc683d9fb7,364
hs070.bch,coconutbenchmark-library2,hs070.bch,e4ac50b8b729e32b84e9b25955c7236b,8164
hs087.bch,coconutbenchmark-library2,hs087.bch,f2279717bcd699859f5cedc3e490da98,675
hs088.bch,coconutbenchmark-library2,hs088.bch,4e98673c55bdc6997187a248decd260d,159179
hs089.bch,coconutbenchmark-library2,hs089.bch,7afa97da6695fdae4186748281e3e660,226104
hs090.bch,coconutbenchmark-library2,hs090.bch,386e2d97f7fdde65a15474fccbb6060a,300553
hs091.bch,coconutbenchmark-library2,hs091.bch,2360058a63e1ea4001a4b4117c9d7d80,380470
hs093.bch,coconutbenchmark-library2,hs093.bch,dd3a8983f904098152e23e1df79f1fd4,627
hs095.bch,coconutbenchmark-library2,hs095.bch,be89ac2a447017762ca8856b553ea8ec,1053
hs096.bch,coconutbenchmark-library2,hs096.bch,3696d2c6f8ecf395ed0ee179619ecad7,1053
hs097.bch,coconutbenchmark-library2,hs097.bch,04d9d8a20bbbc6281eeb08bc19a7c0fb,1053
hs098.bch,coconutbenchmark-library2,hs098.bch,d43c12457727b8a973e29fe4010bc2bb,1053
hs099.bch,coconutbenchmark-library2,hs099.bch,a7a0de758576f9fc7aa93c68a9985cfc,1360
hs100.bch,coconutbenchmark-library2,hs100.bch,b24f7d3e354fa8f67ef407e9b70d2ec8,594
hs101.bch,coconutbenchmark-library2,hs101.bch,ba5326d18f813fcf7d363d6865e5b4e5,1628
hs102.bch,coconutbenchmark-library2,hs102.bch,7ab2e38e24a51f9c77cd19c0fe77832f,1627
hs103.bch,coconutbenchmark-library2,hs103.bch,3799a96b4ae5e00e33bb860c70d66657,1594
hs104.bch,coconutbenchmark-library2,hs104.bch,ea8a3c39e3b2c140493d9aee86350a69,1101
hs106.bch,coconutbenchmark-library2,hs106.bch,1d340bf1481a9ac0a6630c7e6b6a70be,509
hs107.bch,coconutbenchmark-library2,hs107.bch,77e924a14942a393cbc2d18f8ce77d8f,1612
hs108.bch,coconutbenchmark-library2,hs108.bch,86686bd9572841a078978aa44559e9ed,622
hs109.bch,coconutbenchmark-library2,hs109.bch,7a877ec62770d496fed62012628929fb,1292
hs110.bch,coconutbenchmark-library2,hs110.bch,fae4a3b9d31e534d4f4629e4317bc18a,782
hs111.bch,coconutbenchmark-library2,hs111.bch,6f625fcc8b4744bdc65a1c87a28c22b0,1703
hs112.bch,coconutbenchmark-library2,hs112.bch,96b618c04121a39640ccba2fa1889044,1083
hs113.bch,coconutbenchmark-library2,hs113.bch,003891d2ed8805727c22f6126ac4227c,943
hs114.bch,coconutbenchmark-library2,hs114.bch,b20a7d063f1140a64d360aed7f7a8e60,1107
hs116.bch,coconutbenchmark-library2,hs116.bch,3f5ca7d2f0fac6732d811cd541e7f790,1217
hs117.bch,coconutbenchmark-library2,hs117.bch,5856fb20f43a5f43992250d95136ab08,1602
hs118.bch,coconutbenchmark-library2,hs118.bch,0ffebdee093471d22984b5bf8eb239f1,1557
hs119.bch,coconutbenchmark-library2,hs119.bch,bd63031d6cf1ef4a6273a221710ec88a,2871
hs21mod.bch,coconutbenchmark-library2,hs21mod.bch,cff5aaadd00259d61716100450c264f5,317
launch__coconut.bch,coconutbenchmark-library2,launch.bch,b46265b1213449743d3837259f3c7ae7,6239
loadbal.bch,coconutbenchmark-library2,loadbal.bch,df4ddeb8410ccf5d0caa6e7161ed9034,4779
lotschd.bch,coconutbenchmark-library2,lotschd.bch,cb7827866631ad2fb661d0013c293afe,877
makela3.bch,coconutbenchmark-library2,makela3.bch,e7aa9b68c3b3a0f56a58ffb07fc06aa8,744
makela4.bch,coconutbenchmark-library2,makela4.bch,476de64855fdedcf4f36ea0c2ede2d37,1349
matrix2.bch,coconutbenchmark-library2,matrix2.bch,d5ab20dffc751e8007476336b0d66f1b,214
mconcon.bch,coconutbenchmark-library2,mconcon.bch,3cb43e556b72e8cc885c3db822ef15bf,1075
mistake.bch,coconutbenchmark-library2,mistake.bch,654f129ad1823b7ee13279875f6fb36b,839
modele_opti.bch,coconutbenchmark-library2,modele_opti.bch,15d425fb5d59c03722eeb693131ff7e4,2164
odfits.bch,coconutbenchmark-library2,odfits.bch,978d4c83caea1bccc8ccaec1b9da17e2,939
optcntrl.bch,coconutbenchmark-library2,optcntrl.bch,ce51dd57a14ac54fc83bee3236184397,2229
